NEMO,PRICE,PE,BV,CURRENT RATIO,UNINT. DIV.,HIST. DIV. YIELD (%),CURRENT YEAR DIV. YIELD (%),OP. MARGIN (%),ROIC (%),ROE (%)
HORNOS,1.3,0.0,0.0,0.34,0,0.00,0.00,-4253,0,0
IACSA,81.89,0.0,0.77,9.35,0,10.15,0.00,-2062,-1.249,-1.249
IAM,668.9,10.2,1.08,0.82,14,6.22,3.19,4282,4.503,11.79
IANSA,8.8,0.0,0.12,2.19,0,1.00,0.00,-2122,-1.121,-1.395
ILC,5250.0,16.6,0.74,2.58,8,6.33,3.78,-1953,4.713,11.99
INDISA,1714.0,23.26,3.11,1.49,14,3.35,1.94,1037,9.464,14.72
INFODEMA,2.0,0.0,0.21,0.50,0,1.20,0.00,-1572,-14.2,-22.69
INGEVEC,90.0,11.44,1.84,1.49,5,2.93,4.93,5411,8.408,16.32
INMOBVINA,100000.0,0.0,0.22,0,0,0.00,0.00,-3842,-1.923,-1.93
INTASA,6.0,0.0,4.9,0.45,0,0.00,0.00,3922,-52.35,-62.79
INTEROCEAN,65.82,17.28,0.45,0.51,4,3.68,1.29,3592,0.956,1.79
INVERCAP,2323.0,0.0,0.7,0.97,0,2.04,0.00,-3708,-5.184,-5.516
INVERFOODS,0.0,0.0,0.0,1.67,0,0.00,0.00,5087,-0.264,-0.36
INVERNOVA,8.0,0.0,0.93,0,0,7.55,0.00,-1323,-3.656,-3.656
INVEXANS,12.5,0.0,0.67,20.57,0,0.00,0.00,-5.000,-10.56,-10.7
INVIESPA,1458.0,12.04,1.46,0,30,7.97,4.47,9148,7.85,7.85
IPAL,1210.5,0.0,0.36,2.28,31,14.35,4.96,0,-2.771,-3.527
ISANPA,4.0,21.5,0.36,0,0,6.18,0.00,-1086,1.94,1.94
ITAUCORP,2.66,0.0,0.54,0.42,18,4.68,8.91,971,1.342,3.81
LAS CONDES,28100.0,134.51,1.67,2.38,2,0.85,0.62,8694,1.514,3.618
LINDEFUT,0.0,0.0,0.0,0,0,0.00,0.00,0,-1.288,-1.288
LIPIGAS,4926.8,14.8,3.54,1.30,5,4.35,2.94,147,12.43,24.73
LITORAL,12296.0,21.24,1.96,1.51,30,3.61,1.52,9443,10.08,10.08
LTM,1380.0,0.0,11.98,0.57,0,0.35,0.00,6345,1.741,5.469
MAISONNETT,0.0,0.0,0.0,0,0,0.00,0.00,0,0,0
MALLPLAZA,1350.0,28.4,1.48,0,1,0.30,1.16,5021,3.904,5.774
MANQUEHUE,125.15,17.69,0.56,1.55,2,0.33,1.30,5899,1.978,2.413
MARBELLACC,801000.0,0.0,0.7,3.94,0,0.00,0.00,0,-1.618,-1.618
MARGARET'S,0.0,0.0,0.0,0,0,0.00,0.00,0,0,0
MARINSA,48.99,0.0,1.63,0,0,0.00,0.00,295.120,19.96,21.05
MASISA,13.99,0.0,0.2,2.47,0,10.78,0.00,-4439,-11.7,-17.27
MELON,0.4,0.0,0.56,0.96,0,4.63,0.00,4534,-0.791,-0.945
MINERA,16203.0,15.56,0.59,2.98,41,3.46,7.59,2812,3.6,4.931
MOLLER,475.0,10.71,1.29,0.84,6,4.17,2.63,6339,9.284,12.81
MOLYMET,5499.3,16.9,1.23,0,5,1.98,3.36,0,0,0
MUELLES,0.0,0.0,0.0,1.37,18,47.80,142.18,2089,6.792,6.792
MULTIFOODS,237.0,26.68,1.46,2.31,4,2.89,2.25,1099,9.131,11.36
NAVARINO,802.0,0.0,1.37,0,0,0.00,0.00,290.471,18.4,19.75
NAVIERA,18.76,3.41,0.41,0.66,14,7.30,5.90,1292,4.82,10.34
NIBSA,6700.0,23.75,0.6,3.21,2,1296.95,276.82,-1771,1.446,1.551
NITRATOS,0.72,76.11,0.53,0,0,2.33,0.00,-114.271,1.872,3.649
NORTEGRAN,1.9,547.93,0.22,0,0,1.79,0.00,-9.556,0.599,1.034
NORTE-OSA,0.0,0.0,0.0,0,0,0.00,0.00,0,0,0
NUEVAPOLAR,8.69,0.0,0.35,1.66,0,0.00,0.00,-4026,-5.147,-10.16
NUEVAREG,0.0,0.0,0.0,0,0,0.00,0.00,0,0,0
OLDBOYS,0.0,0.0,0.0,6.16,0,0.00,0.00,-2491,-0.029,-0.029
ORO BLANCO,1.91,19.37,0.24,0,18,1.85,0.54,-278,1.112,1.663
OXIQUIM,5000.0,7.84,1.54,0,5,11.46,6.40,0,0,0
PARAUCO,1329.0,14.15,1.12,0,14,2.14,1.66,4737,4.933,9.413
PASUR,6945.0,0.0,0.49,71.41,14,2.21,1.47,0,1.905,1.905
PAZ,650.0,12.92,0.95,1.54,10,5.36,4.58,2476,7.738,13.95
PEHUENCHE,1640.0,12.44,7.18,1.27,19,5.92,5.21,7739,61.21,61.21
PLANVITAL,59.0,6.3,2.03,0,4,2.18,6.00,0,0,0
POLO,3300000.0,31.27,60.27,2.22,0,0.00,0.00,-4694,76.7,589.1
POLPAICO,8040.0,173.44,1.33,1.08,1,1.29,4.02,5262,5.646,6.355
POTASIOS-A,88.08,40.93,0.81,0,8,2.04,0.14,-2.420,2.485,4.125
POTASIOS-B,93.31,43.36,0.86,0,8,2.25,0.15,-2.420,2.485,4.125
PREVISION,560.0,39.87,1.38,2.38,12,67.14,14.46,6727,10.08,13.26
PROVIDA,2280.0,9.42,0.62,0,4,7.77,4.05,4994,7.119,7.119
PUCOBRE,3220.0,44.66,2.49,0.98,29,2.32,3.73,1765,6.936,7.75
PUERTO,1457.5,0.0,1.57,2.82,0,0.69,0.00,9986,-0.377,-0.757
PUNTILLA,2000.0,0.0,1.64,0.59,0,0.78,0.00,3058,-26.95,-40.91
QUEMCHI,780.0,0.0,1.06,0,0,0.00,0.00,288.080,16.29,17.86
QUILICURA,620.05,9.31,0.57,1.00,12,10.25,7.58,-4861,5.595,5.595
QUINENCO,1250.0,10.73,0.56,0.76,14,2.60,3.02,1982,1.443,5.508
REBRISA-A,0.5,0.0,1.28,0.81,0,2.90,0.00,0252,-6.643,-13.69
REBRISA-B,0.6,0.0,1.54,0.81,0,3.27,0.00,0252,-6.643,-13.69
RIPLEY,263.0,6.19,0.49,1.11,14,3.10,3.99,2014,5.48,9.805
SALFACORP,469.9,9.6,0.56,0.94,15,2.52,3.88,3186,3.671,6.17
SALMOCAM,4846.3,10.38,2.04,2.91,2,0.96,4.17,1991,15.54,21.22
SANTA RITA,144.0,19.8,0.83,2.54,28,4.93,1.36,9121,2.821,3.922
SANTANA,16.0,0.0,1.02,0,11,4.48,0.31,362,2.241,2.241
SCHWAGER,0.76,0.0,0.65,1.10,0,0.00,0.00,8864,-4.793,-7.425
SCOTIABKCL,348.44,18.07,1.84,0.50,11,4.31,2.49,1815,4.372,12.56
SECURI-OSA,0.0,0.0,0.0,0,0,0.00,0.00,0,0,0
SECURITY,150.0,8.33,0.76,0,25,4.90,4.70,9501,5.793,10.83
SIEMEL,330.0,6.56,0.55,1.72,3,3.15,2.01,76,7.51,8.307
SIPSA,102.0,2.14,0.31,0.66,3,18.04,13.01,3294,11.99,13.06
SIXTERRA,787.0,0.0,0.87,0,0,12.03,0.00,0,-0.402,-0.402
SK,825.6,12.75,0.86,1.41,15,3.00,1.91,9243,0,0
SMSAAM,55.0,11.54,0.0,1.99,6,3.74,5.56,1797,4.792,7.209
SMU,136.0,23.26,1.12,0.65,1,0.20,3.27,4514,2.493,4.882
SOCOVESA,209.4,9.13,0.74,0.72,13,4.54,2.72,1329,6.78,6.834
SOFRUCO,2000.0,23.34,0.56,1.11,7,3.55,2.40,9331,2.71,3.892
SONDA,620.0,40.95,1.11,1.90,13,1.78,1.14,5938,3.487,4.5
SOPROCAL,270.5,0.0,0.37,5.07,0,5.26,0.00,-5251,-11.49,-11.49
SOQUICOM,164.58,11.6,0.64,3.44,27,13.16,19.30,6314,4.797,4.901
SPORTFRAN,1785000.0,0.0,1.8,0,0,0.00,0.00,-2.590,-1.416,-1.416
SPORTING,6200000.0,0.0,1.43,1.47,8,0.24,0.07,2294,0.307,0.318
SQM-A,20880.0,28.52,3.29,3.45,36,3.78,1.84,2215,7.7,12.97
SQM-B,25165.0,34.67,4.0,3.45,26,4.06,1.69,2215,7.7,12.97
STADITALIA,0.0,0.0,0.0,0,0,0.00,0.00,0,0,0
TRICAHUE,730.1,9.89,1.09,0,19,5.99,5.73,9453,8.708,8.709
TRICOT,490.31,26.09,1.61,2.54,0,0.90,0.00,9717,5.946,7.816
UNESPA,386.0,16.85,1.44,0,20,6.30,3.99,8504,6.507,6.507
UNION GOLF,1490000.0,0.0,4.17,0.86,0,0.00,0.00,-1932,-13.73,-31.33
VAPORES,22.05,10.86,0.43,0.67,0,0.00,0.00,-1394,5.288,5.605
VENTANAS,171.0,12.98,2.27,1.11,26,5.66,3.08,1957,9.677,17.76
VICONTO,25.98,44.0,0.49,1.18,33,6.28,1.92,-1881,-1.873,-1.993
VOLCAN,2010.0,8.75,0.86,2.04,44,4.35,2.25,1408,9.582,9.944
VSPT,6.75,10.81,1.09,1.79,13,4.02,4.24,1337,8.831,9.442
WATTS,1060.0,20.21,1.49,2.44,8,2.29,2.70,6573,4.702,7.787
YUGOSLAVA,0.0,0.0,0.0,0.00,0,0.00,0.00,0,-12.15,-12.15
ZOFRI,503.48,9.79,2.29,0,29,6.35,8.13,2884,24.49,24.49
