NEMO,PRICE,PE,BV,CURRENT RATIO,UNINT. DIV.,HIST. DIV. YIELD (%),CURRENT YEAR DIV. YIELD (%),OP. MARGIN (%),ROIC (%),ROE (%)
PASUR,8000.0,999.0,0.56,0,14,2.21,1.45,0,0,0
PAZ,511.76,10.17,0.75,0,10,5.36,4.56,0,0,0
PEHUENCHE,1603.6,12.16,6.96,0,19,5.92,8.21,0,0,0
PLANVITAL,59.0,5.33,1.52,0,4,2.18,6.22,0,0,0
POLO,3300000.0,31.27,59.81,0,0,0.00,0.00,0,0,0
POLPAICO,8040.0,999.0,1.72,0,1,1.29,4.02,0,0,0
POTAA-OSA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
POTASIOS-A,88.08,58.48,6.95,0,8,2.04,0.14,0,0,0
POTASIOS-B,93.31,61.96,7.27,0,8,1.59,0.14,0,0,0
PREVISION,560.0,39.87,1.41,0,12,7.85,5.44,0,0,0
PROVIDA,2376.0,7.97,0.64,0,4,7.77,14.11,0,0,0
PUCOBRE,3251.3,16.02,2.35,0,29,2.32,3.57,0,0,0
PUERTO,1457.5,999.0,1.55,0,0,1.91,0.00,0,0,0
PUNTILLA,2000.0,999.0,1.69,0,0,0.78,0.00,0,0,0
QUEMCHI,780.0,999.0,1.05,0,0,0.00,0.00,0,0,0
QUILICURA,1167.0,17.54,0.99,0,12,10.25,7.09,0,0,0
QUINENCO,1051.9,8.34,0.47,0,14,2.60,3.09,0,0,0
REBRISA-A,0.5,999.0,1.24,0,0,2.90,0.00,0,0,0
REBRISA-B,0.6,999.0,1.48,0,0,3.27,0.00,0,0,0
RIPLEY,210.97,18.41,0.41,0,14,3.10,4.17,0,0,0
SALFACORP,413.26,10.16,0.48,0,15,2.52,3.80,0,0,0
SALMOCAM,4400.0,24.23,1.93,0,2,0.96,4.25,0,0,0
SANTA RITA,144.0,19.8,0.82,0,28,4.93,1.36,0,0,0
SANTANA,16.0,999.0,1.0,0,11,4.48,0.31,0,0,0
SCHWAGER,0.7,999.0,0.58,0,0,0.00,0.00,0,0,0
SCOTIABKCL,348.44,18.07,1.83,0,11,4.31,2.48,0,0,0
SECURI-OSA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
SECURITY,126.8,9.15,0.62,0,25,4.90,7.11,0,0,0
SIEMEL,330.0,12.47,0.54,0,3,3.15,2.01,0,0,0
SIPSA,102.0,999.0,0.31,0,3,18.04,13.01,0,0,0
SIXTERRA,787.0,999.0,0.87,0,0,12.03,0.00,0,0,0
SK,780.0,13.62,0.81,0,15,3.00,2.15,0,0,0
SMSAAM,53.99,10.8,0.82,0,6,3.74,5.53,0,0,0
SMU,107.02,29.29,0.87,0,1,0.20,3.38,0,0,0
SOCOVESA,182.0,7.71,0.62,0,13,4.54,2.75,0,0,0
SOFRUCO,2000.0,8.64,0.53,0,7,3.55,2.32,0,0,0
SONDA,533.97,68.23,0.99,0,13,1.78,1.35,0,0,0
SOPROCAL,270.5,999.0,0.36,0,0,5.26,0.00,0,0,0
SOQUICOM,192.97,11.52,0.69,0,27,13.16,18.56,0,0,0
SPORTFRAN,1785000.0,999.0,1.79,0,0,0.00,0.00,0,0,0
SPORTING,6200000.0,999.0,1.42,0,8,0.24,0.07,0,0,0
SQM-A,20778.0,29.63,3.33,0,36,3.78,3.35,0,0,0
SQM-B,28000.0,40.07,4.51,0,26,4.06,2.93,0,0,0
STADITALIA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
TRICAHUE,730.1,10.27,1.01,0,19,5.99,9.11,0,0,0
TRICOT,417.0,220.69,1.37,0,0,0.90,0.00,0,0,0
UNESPA,386.0,22.71,1.26,0,20,6.30,3.99,0,0,0
UNION GOLF,1490000.0,999.0,5.05,0,0,0.00,0.00,0,0,0
VAPORES,22.96,9.66,0.62,0,0,0.00,0.00,0,0,0
VENTANAS,166.54,13.55,2.23,0,26,5.66,4.10,0,0,0
VICONTO,25.98,999.0,0.5,0,33,6.28,1.92,0,0,0
VOLCAN,1930.0,9.16,0.82,0,44,4.35,3.26,0,0,0
VSPT,7.3,11.7,1.17,0,13,4.02,4.12,0,0,0
WATTS,1000.0,16.15,1.36,0,8,2.29,2.63,0,0,0
YUGOSLAVA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
ZOFRI,481.84,28.93,2.52,0,29,6.35,8.23,0,0,0
